,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Limón sin Semilla por Kg,18.5,Alcachofa Microwave 59g,144.9,Leche Alpura Clásica Pasteurizada 1L,20.4,Molida de Res por kg,77.9,Chiles Habaneros Salsas Doña Jose en Escabeche 300g.,95.0
1,Plátano Chiapas por Kg,22.9,Esparrago Verde 454g,78.5,Frutal Fresa Alpura 250ml,7.5,Milanesa de Cerdo kg,77.9,Chiles Clemente Jacques Chipotles Dulces Molidos 220g,15.5
2,Mandarina Chumis Chica Bolsa 674 g,53.9,Cebolla Amarillapor kg,29.9,Frutal Durazno Alpura 250ml,7.5,Filete de Salmón Pacifico por kg,349.0,Chile Chipotle Lucero Adobo 520g,41.5
3,Naranja Arpilla5Kg,57.5,Tomate Cherry Glorys NatureSweet 283g,37.9,Frutal Piña-Coco Alpura 250ml,7.5,Filete de Tilapia por Kg,114.0,Chiles Serranos La Costeña Enteros en Escabeche 800g,36.9
4,Limón Eureka 1kg,57.9,Jitomate Hidrocool Cherry 380g,32.9,Yoghurt Alpura Batido Fresa 125g,5.1,Filete Basa Blanco por kg,84.9,Rajas Rojas La Morena  210g,11.5
5,Naranja de Jugo por Kg,12.9,Tomate Uva Cherubs NatureSweet 283g,37.9,Yoghurt Alpura Batido Durazno 125g,5.1,Filete Basa Rojo por kg,79.9,Rajas Verdes La Morena  2800g,99.8
6,Toronja por Kg,14.9,Cebolla Perla Roja 10 283.4g,57.0,Yoghurt Alpura Batido Mango 125g,5.1,Almeja Chocolata Viva por Pieza,23.5,"Chile Chipotle Lucero 270 gr, Escabeche",25.5
7,Limón Colima por Kg,32.9,Cebolla Perla Blanca 283.4g,57.0,Yoghurt Alpura Batido Manzana 125g,5.1,Jaibón California por Kg,129.0,Chilitos Gueritos La Norteña Pouch 230g,21.0
8,Mandarina por Kg,24.9,Cebolla Perla Dorada 283.4g,57.0,Yoghurt Alpura Batido Zarzamora 125g,5.1,King Crab Alaska por kg,1999.0,Chiles Nachos Jalapeños La Costeña Rodajas 380g,19.5
9,Limade Chiche por Kg,44.0,Tomate Verde por kg,19.9,Yoghurt Alpura Batido Frutos del Bosque 125g,5.1,Filete de Calamar Cocido por Kg,192.0,Chiles Jalapeños La Costeña Picados 220g,12.8
10,Naranja Paramount 1kg,58.5,CebollínPieza,9.0,Yoghurt Alpura Batido Piña-Coco 125g,5.1,Filete Pescado Marinado al Chipotle por kg,99.0,Jalapeños Nachos La Morena  210g,8.9
11,Pera Forelle Kg,134.7,Cebolla de Cambray por Pieza,9.9,Yoghurt Alpura Batido Natural 125g,5.1,Filete Pescado Marinado Mango Habanero por kg,106.0,Chiles Nachos Jalapeños La Costeña Rodajas 800g,31.5
12,Cereza Domo 250g,74.9,Cebolla de Rabo por kg,32.0,Yoghurt Alpura Batido Guayaba 125g,5.1,Chucumite por Kg,130.0,Chiles Nachos Jalapeños La Costeña Rodajas 220g,11.5
13,Kiwi Zespri Sungold 3 piezas,63.5,Tomatillo por kg,43.8,Leche UHT Lala Yomi Fresa Slim 190 ml,5.5,Filete Tilapia Bolsa 1 kg,169.0,Chiles Jalapeños La Costeña Picados 380g,23.9
14,Pera Mantequilla por Kg,49.9,Aguacate Hass Enmallado pz,26.9,Leche UHT Lala Yomi Vainilla Slim 190 ml,5.5,Figuritas de Pescado Empanizado 500 g,59.9,Rajas San Marcos Verdes 380g,15.0
15,Durazno Rojo por Kg,79.9,Cebolla Morada por kg,29.9,Leche UHT Lala Yomi Chocolate Slim 190 ml,5.5,Camaron Don Chiapas Pacotilla 454 g,169.0,Chiles Clemente Jacques Jalapeños Rajas 380g,10.0
16,Ciruela 1kg,79.9,Tomate Saladet por kg,5.5,Leche UHT Lala Yomi Chocolate 3 Pack Slim 190 ml,18.9,Barritas de Pescado Empanizado 500 g,59.9,Chiles Jalapeños La Costeña en Rajas 800g,26.5
17,Nectarina por Kg,64.9,Aguacate Chiapas por Kg,39.9,Alimento Líquido Lala Vita Amarant 960ml,36.3,Mejillón Media Concha por kg,243.0,Chiles Jalapeños La Costeña en Rajas 105g,6.9
18,Pera Bosc por Kg,54.9,Papa Blanca  por kg,36.9,Leche Lala Orgánica Deslactosada UHT 1L,30.0,Pulpo por kg,199.0,Chiles La Costeña Rajas Rojas de Jalapeño 220g,12.0
19,Pera Asiática por Kg,69.9,Papa Cambray por kg,32.9,Alimento Líquido Lala Vita Arroz 960ml,36.3,Almeja Negra por Kg,37.7,Rajas Verdes La Morena 265g,13.55
20,Kiwipor Kg,79.9,Aguacate Hass por Kg,19.5,Leche UHT Lala Yomi Vainilla 1L,23.5,Filete de Calamar por kg,115.0,Chiles Jalapeños La Costeña en Rajas 340g,15.0
