,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Platano Tabasco,21.0,Jitomate Saladet,6.9,Leche Uht Entera Proteina 0 Lactosa 100,25.65,Chuleta Ahumada Cerdo Selecto,109.5,Granos De Elote Dorado,8.15
1,Papaya Maradol,17.9,Aguacate Hass,33.9,Leche Uht Semidescremada,24.0,Molida Cerdo Selecto,102.1,Chicharron De Cerdo,159.0
2,Limon Agrio,27.9,Cebolla Blanca,11.9,Leche Uht Entera,20.65,Pulpa De Pierna Cerdo Selecto,106.4,Granos De Elote,7.15
3,Naranja Valencia Para Jugo,6.9,Calabaza Italiana,12.9,Leche Uht Semidescremada,9.0,Costilla Cerdo Selecto,118.5,Garbanzos,15.1
4,Limon Agrio Sin Semilla 4639 1,36.9,Zanahoria,13.9,Leche Uht Deslactosada Light,30.0,Lomo Cerdo Supremo,121.4,Granos De Elote Dorado,15.0
5,Manzana Royal Gala,36.9,Papa Blanca,38.9,Leche Uht Entera,15.8,Chuleta Cerdo Selecto,96.2,Ensalada De Verduras,8.95
6,Piña Miel,16.9,Pepino,19.5,Leche Uht Semidescremada,9.0,Filete Cerdo Selecto,145.4,Champiñones Rebanados,15.9
7,Uva Blanca Sin Semilla,135.0,Tomate Verde Sin Cascara,17.5,Leche Uht Deslactosada,21.5,Milanesa De Pierna Cerdo Selecto,115.0,Granos De Elote Blanco Mexicano,13.7
8,Guayaba,29.9,Chayote Sin Espinas,15.9,Leche Fresca Entera,36.79,Milanesa De Lomo Cerdo Selecto,139.8,Granos De Elote Dorado,14.1
9,Melon Chino,17.9,Chile Serrano,19.5,Producto Lacteo Uht Entero,15.55,Codillo Cerdo Selecto,64.0,Ajo Picado,93.0
10,Fresa,69.9,Ejote Verde,32.8,Leche Uht Semidescremada,28.25,Espinazo Cerdo Selecto,131.9,Ensalada De Verduras,13.5
11,Toronja Sangria,6.9,Chile Poblano,23.9,Leche Uht Entera,33.3,Lomo Ahumado Cerdo Selecto,122.86,Champiñones Rebanados,30.1
12,Jicama,16.5,Pimiento Verde,27.9,Leche Fresca Entera,32.65,Bistec De Pierna Cerdo Selecto,123.8,Granos De Elote Dorado,14.4
13,Manzana Golden,37.9,Pimiento Rojo,75.9,Leche Uht Semidescremada,9.0,Carrillera Baby Back Cerdo Selecto,134.0,Ensalada De Verduras,11.0
14,Pera De Anjou,59.9,Cebolla Morada,41.8,Leche Uht Deslactosada Selecta,21.5,Manitas Cerdo Selecto,62.2,Garbanzo En Salmuera,17.5
15,Manzana Starking,49.9,Jengibre,126.9,Leche Uht Deslactosada,16.6,Cabeza De Lomo Sin Hueso Cerdo Selecto,107.0,Chicharos Con Zanahorias,7.9
16,Tangerina,35.8,Ajo Morado,158.0,Leche Fresca Light 0 Lactosa 100,25.75,Cabeza De Lomo Cerdo Selecto,108.8,Chicharos,11.17
17,Platano Macho,23.9,Jitomate Bola,9.9,Leche Uht Semidescremada,9.0,Hueso Pozolero Cerdo Selecto,40.4,Chicharos,7.25
18,Manzana Golden Ex,69.9,Betabel,14.9,Leche Uht Deslactosada,7.8,Lomo Mexicano Cerdo Selecto,122.54,Champiñones En Escabeche,37.4
19,Manzana Golden Nacional,56.7,Papa Cambray,36.6,Leche Fresca Light,33.0,New York Cerdo Supremo,152.0,Ensalada Campesina,6.5
20,Sandia Charleston,11.9,Elote Blanco,9.7,Crema Acida,30.5,Milanesa De Pechuga Pollo Selecto,135.0,Chicharos,7.5
21,Limon Eureka,65.7,Pimiento Amarillo,84.9,Crema Acida Deslactosada,31.9,Pechuga Con Hueso Sin Piel Pollo Selecto,103.96,Chicharos Y Zanahorias,13.3
22,Mango Manila 4639 1,39.9,Berenjena,31.0,Crema Acida Light,27.0,Muslo Sin Piel Pollo Selecto,69.0,Champiñones En Trocitos,15.45
23,Platano Tabasco Organico,26.9,Tomate Verde Con Cascara,18.9,Crema Acida Reducida En Grasa,26.85,Pechuga S/H Cong Pollo Selecto,116.3,Ensalada Campesina,11.0
24,Kiwi 4639 1,99.5,Poro,40.7,Crema Acida,14.0,Pechuga Con Hueso Americano Pollo Selecto,63.0,Flor De Calabaza,26.45
25,Platano Dominico,47.5,Chile Cuaresmeño,20.9,Crema Acida,26.45,Filete De Pechuga Pollo Selecto,125.0,Champiñones En Escabeche,19.5
26,Mandarina Clementina,145.0,Pimiento Naranja,84.9,Crema Acida Premium,36.0,Canal Entera Pollo Selecto 1 Kg Pollo Selecto,42.5,Champiñones Rebanados,13.7
27,Manzana Granny,79.9,Camote Amarillo Nacional,74.6,Crema Acida,59.0,Pierna Sin Piel Pollo Selecto,69.6,Champiñones Enteros,17.83
28,Frambuesa,82.5,Chile Verde De Arbol,82.1,Crema Dulce,53.0,Muslo Pollo Selecto,62.0,Ejotes,13.5
29,Sandia Baby,31.3,Chile Habanero,62.7,Crema Acida Deslactosada,14.3,Pierna Con Muslo Americano Pollo Selecto,31.5,Ensalada De Legumbres,13.2
30,Durazno Amarillo,69.9,Pepino Criollo,5.5,Crema Acida,49.65,Pechuga Sin Hueso Pollo Selecto,126.4,Ensalada De Legumbres,8.3
31,Zarzamora,75.9,Chicharo,41.8,Crema Acida Reducida En Grasa,12.85,Molida De Pechuga Pollo Selecto,130.0,Ensalada De Verduras Mas 15%,8.38
32,Pera Bosc 4639 1,71.6,Cebolla De Rabo,32.2,Crema Acida Reducida En Grasa,54.0,Pechuga Anatomic Pollo Selecto,97.6,Flor De Calabaza,34.5
33,Naranja Importada,49.3,Cremini Rebanado,25.9,Crema Acida Deslactosada,62.3,Pierna Con Muslo Pollo Selecto,62.0,Champiñones Rebanados,26.9
34,Melon Valenciano,23.9,Jitomate Cherry,30.3,Crema Acida Light,13.85,Pierna Con Muslo Sin Piel Pollo Selecto,69.4,Ensalada Campesina,8.38
35,Mango Paraiso,35.9,Calabaza Criolla,33.6,Crema Dulce,95.0,Milanesa De Pechuga Congelada Pollo Selecto,121.0,Chicharos,7.15
36,Mandarina Clementina,139.0,Papa Amarilla Chica,34.8,Crema Acida Light,51.0,Pierna Pollo Selecto,45.3,Chicharos,11.5
37,Sandia Sin Semilla,6.9,Pepino Europeo,30.3,Crema Natural,31.5,Alas Pollo Selecto,44.9,Chicharos Con Zanahoria,8.23
