Unnamed: 0,Carnes HBE,Precio Carnes HBE,Carnes Soriana,Precio Carnes Soriana,Carnes Chedraui,Precio Carnes Chedraui,Carnes LaComer,Precio Carnes LaComer
,Molida Pulpa Negra De Res 500 Gr,112.0,Hamburguesa Res Fina Sukarne 720 Gr Pz,72.0,Molida de Res por kg,77.9,Chuleta Ahumada Cerdo Selecto,109.5
,Molida London Broil De Res 500 Gr,123.0,Diezmillo De Res S/Hueso Rdfs Kg,74.9,Milanesa de Cerdo kg,77.9,Molida Cerdo Selecto,102.1
,Molida Pulpa Fina De Res 300 Gr,62.0,Costilla De Res P/Asar Rdfs Kg,9.0,Filete de Salmón Pacifico por kg,349.0,Pulpa De Pierna Cerdo Selecto,106.4
,Molida Sirloin De Res 300 Gr,64.0,Flecha De Res P/Asar Rdfs Kg,9.0,Filete de Tilapia por Kg,114.0,Costilla Cerdo Selecto,118.5
,Pechuga De Pollo S/H 1 Kg,144.0,Higado De Res Rebanado Sukarne 500 Gr,28.9,Filete Basa Blanco por kg,84.9,Lomo Cerdo Supremo,121.4
,Milanesa Natural De Pollo Paq.De.550Gr 550 Gr,89.5,Filete De Res Rdfs Kg,19.0,Filete Basa Rojo por kg,79.9,Chuleta Cerdo Selecto,96.2
,Milanesa De Pulpa Negra 1 Kg,226.0,Molida Res Pulpa Negra 95/5 Rancho Don Francisco,94.9,Almeja Chocolata Viva por Pieza,23.5,Filete Cerdo Selecto,145.4
,Filete De Mojarra De Granja Prev. Cong. 1 Kg,110.0,Menudo De Res Panza Rancho Santa Fe Kg,74.9,Jaibón California por Kg,129.0,Milanesa De Pierna Cerdo Selecto,115.0
,Pierna Y Muslo De Pollo Iqf 1 Kg,27.0,Molida De Pulpa Negra London Broil Rancho Don Francisco Selecta Kg,39.0,King Crab Alaska por kg,1999.0,Milanesa De Lomo Cerdo Selecto,139.8
,Pechuga De Pollo Deshuesada 1 Kg,143.0,Pulpa Negra Trozo Rancho Don Francisco Selecta,94.9,Filete de Calamar Cocido por Kg,192.0,Codillo Cerdo Selecto,64.0
,Molida Clásica De Res 1 Kg,153.0,Albondiga Practiryc 480 Gr,82.9,Filete Pescado Marinado al Chipotle por kg,99.0,Espinazo Cerdo Selecto,131.9
,Muslo De Pollo Paq.Reg. 1 Kg,68.9,New York De Res Rdfs Kg,14.0,Filete Pescado Marinado Mango Habanero por kg,106.0,Lomo Ahumado Cerdo Selecto,122.86
